location,source,target,id,fuzzy,context,translator_comments,developer_comments
FLEET_COMBAT_T1_25,{Forward combat scouts located and destroyed hostile forces. Valuable debris towed back to the fleet.},,,,,,
FLEET_COMBAT_T1_26,{Combat scouts dispatched to investigate disturbance. Several hostile ships located. Main fleet required to intervene. All hostiles destroyed.},,,,,,
FLEET_COMBAT_T1_27,{Forward scouts ambushed by hostile vessels. Performed evasive maneuvers. Enemy starships successfully lured back into range of fleet cannons.},,,,,,
FLEET_COMBAT_T1_28,"{Engaged by hostile ships of unknown origin. Main shields held up under fire. Hostiles forced to flee, leaving behind valuable debris.}",,,,,,
FLEET_COMBAT_T1_29,"{Encountered hostile ships of unknown origin. Engagement was prolonged but successful. Damage appears minor, but weapon impacts show unusual heat signature.}",,,,,,
FLEET_COMBAT_T1_30,{Warp-ambushed smuggler freighters in the process of a transaction. Hostile disarmed and contraband seized without weapons fire.},,,,,,
FLEET_COMBAT_T2_1,{Took on supplies at local station. Pirate crews smuggled themselves aboard in supply crates. Internal security able to neutralise the situation. Seized contraband from captives.},,,,,,
FLEET_COMBAT_T2_2,{Approached by pirates disguised as merchant vessels. Short-range scanner penetrated hostile weapons cloak; enemy starships destroyed before they could fire.},,,,,,
FLEET_COMBAT_T2_3,"{Ambushed by pirates attempting to use a black hole to disguise their signals. Attack successfully repelled. Valuable debris scooped, other remains left to fall over event horizon.}",,,,,,
FLEET_COMBAT_T2_4,{Hostile ships of unknown origin warped in under scanner range. Fighter crews scrambled. Hostile starships destroyed.},,,,,,
FLEET_COMBAT_T2_5,{Fired upon by hostile starships. Enemy weapons were of poor grade. Total victory achieved with ease.},,,,,,
FLEET_COMBAT_T2_6,"{Pirates hid within cargo bay while fleet took aboard supplies. Internal Security scanned and apprehended suspects with ease. Contraband seized, pirates vented out of airlocks.}",,,,,,
FLEET_COMBAT_T2_7,"{Approached by suspicious vessels. Sensor analysis revealed them to be pirates. Hostiles destroyed, bounty claimed with local authorities.}",,,,,,
FLEET_COMBAT_T2_8,{Approached space station for supplies but came under fire from mounted weaponry. Dispatched boarding crew. Station seized and returned to system authorities.},,,,,,
FLEET_COMBAT_T2_9,"{Patrolled the %SYSTEM% System. Encountered mercenary frigate running neutral colours. Enemy vessel attempted to surrender. No quarter given to pirates, hostiles eliminated.}",,,,,,
FLEET_COMBAT_T2_10,{Pursued damaged pirate vessel across the %SYSTEM% Sector. Extracted bribes in exchange for leaving them be. Proceeded to destroy enemy vessels regardless.},,,,,,
FLEET_COMBAT_T2_11,{Attacked by hostile starships. Enemy fighter squadron attempted to disable fleet with ramming attack. Shields held; all enemies destroyed.},,,,,,
FLEET_COMBAT_T2_12,"{Enemy vessels begun negotiation. During talks, they attempted to infiltrate the fleet with hostile boarding crews. Personnel shuttles spotted and destroyed by fighter squad. Enemy frigates fled. Cargo ships captured.}",,,,,,
FLEET_COMBAT_T2_13,{Hostile EMP burst disabled primary fleet systems. Crew response excellent: backup systems enabled in record time. All enemies destroyed.},,,,,,
FLEET_COMBAT_T2_14,{Pirates attempted to secure fleet surrender via radar spoofing. Sensors correctly determined a low number of genuine hostile vessels. All enemies destroyed.},,,,,,
FLEET_COMBAT_T2_15,"{Anti-boarding systems disabled by over-the-air hack. Boarded by pirates. Crew fought hand-to-hand. Some personnel losses, but all boarders were captured or killed. Systems were restored and pirate equipment seized.}",,,,,,
FLEET_COMBAT_T2_16,{Fleet hailed and ordered to hand over valuable supplies to system authorities. Pirate infiltration and/or corrupt officials suspected. Destroyed the vessel and harvested it for scrap. Rapid warp to next system.},,,,,,
FLEET_COMBAT_T2_17,"{Explosive device detonated within hold. Suspect hostile agents at last supply station. Internal Security quickly vented cargo bays, preventing damage. Bomb components processed for valuable materials.}",,,,,,
FLEET_COMBAT_T2_18,{Offered escort work by apparent merchant vessels. Merchants transpired to be pirates. All hostiles destroyed or seized for scrap. Some cosmetic damage to fleet.},,,,,,
FLEET_COMBAT_T2_19,"{Responded to distress signal. Signal origin proved to be hostile ambush. Emergency shield deployed, fighters scrambled. All enemy starships destroyed.}",,,,,,
FLEET_COMBAT_T2_20,"{Engaged by hostile ships. Enemy crew highly skilled. Long, difficult battle. Terms of reciprocal ceasefire agreed. Gifts exchanged with opposing fleet out of mutual respect.}",,,,,,
FLEET_COMBAT_T2_21,{Assaulted by unusually large pirate fleet. All enemy vessels of dropship-size or smaller. Fighter squadron and turret defence systems held firm. All hostiles destroyed.},,,,,,
FLEET_COMBAT_T2_22,"{Approached by 'merchant' frigate. Vessel offered to send trade supplies. Analysis revealed the supplies in question were bombs. Trade abandoned. Opened fire, all hostiles destroyed.}",,,,,,
FLEET_COMBAT_T2_23,"{Attacked by several small pirate starships before main fleet had completed warp in. Held off until all frigates were in place, proceeded to open fire with all guns. Hostiles destroyed.}",,,,,,
FLEET_COMBAT_T2_24,"{Alarms sounded for incoming fire. Torpedoes launched by pirate vessels under a cloaking device. Countermeasures deployed. Enemy cloak disabled, all hostiles destroyed.}",,,,,,
FLEET_COMBAT_T2_25,{Pirate battle group attempted to intercept our patrol as the fleet passed behind local star. Hostile tactics unsuccessful. All enemy vessels destroyed. Valuable scrap claimed.},,,,,,
FLEET_COMBAT_T2_26,"{Came under fire from planetary facility. Landing crew determined facility was under the control of renegade AI. Power systems disabled, facility staff liberated.}",,,,,,
FLEET_COMBAT_T2_27,{Heavily armed pirate cruiser attempted to blockade fleet while approaching space station. Broke formation and overwhelmed hostile ship with multiple attack vectors. Target destroyed.},,,,,,
FLEET_COMBAT_T2_28,{Attacked by low-heat-signature starships. Analysis revealed hostile vessels were remotely piloted. Autoturret grid activated. Hostiles destroyed or driven away. Minimal losses.},,,,,,
FLEET_COMBAT_T2_29,{Engaged by pirates while attempting in-atmosphere patrol. Large-scale weaponry ineffective. Fighter squadron successfully scrambled. Hostile ships captured and processed for scrap.},,,,,,
FLEET_COMBAT_T2_30,{Attacked by Gek warship. Attempts to de-escalated unsuccessful. Received only automated replies: 'THE FIRST SPAWN RISE AGAIN'. Hostile vessel of poor construction and easily destroyed},,,,,,
FLEET_COMBAT_T3_1,{Responded to distress signal in the %SYSTEM% Sector. Signal source was dangerously close to star. Engaged and destroyed pirates before heat damage could reach critical levels. No innocent lives lost.},,,,,,
FLEET_COMBAT_T3_2,{Encountered pirate forces in %SYSTEM% System. Opening salvo disabled several hostile vessels. Remaining enemy vessels surrendered.},,,,,,
FLEET_COMBAT_T3_3,"{Responded to reports of unlicensed tolls being levied in %RACE% space. Pirates were extracting money from innocent parties using local trade routes. Blockade scattered, illegal fines seized.}",,,,,,
FLEET_COMBAT_T3_4,"{Expeditionary force breached planetary pirate base. Explosive charges set, enemy facility imploded. Rewarded by local authorities.}",,,,,,
FLEET_COMBAT_T3_5,"{Boarding crew posed as pirates and infiltrated local gang. While undercover crew planted fake data, causing catastrophic failure of planned heist. Pirates captured and delivered to system authorities.}",,,,,,
FLEET_COMBAT_T3_6,{Responded to distress signal. Found pirates in occupation of local space station. Boarding attempts rebuffed. Forced to take extreme measures. Orbital weapons deployed. Eradicated both pirates and space station.},,,,,,
FLEET_COMBAT_T3_7,{Detected pirates using abandoned station as a secret base in %SYSTEM% Sector. Boarding crews entered station via maintenance chutes. Hostiles ambushed and captured. Collected bounty from system authorities.},,,,,,
FLEET_COMBAT_T3_8,"{Received reports of pirates using abandoned structures as hidden bases. Dispatched expeditionary force to investigate. Ground patrols discovered hideously distorted figures, their minds warped by exposure to nanite foam. Targets exterminated.}",,,,,,
FLEET_COMBAT_T3_9,{Came to the aid of mining fleet in the %SYSTEM% System. Found pirates using the asteroid field as cover while they stalked and ambushed mineral haulers. Hostiles forcibly removed.},,,,,,
FLEET_COMBAT_T3_10,{Assisted %RACE% authorities in %SYSTEM% Sector. Dispatched lone ship as bait to attract pirate forces. Traced enemy ships back to derelict freighter hulk floating in nearby asteroid field. Target destroyed with long-range weapons.},,,,,,
FLEET_COMBAT_T3_11,"{Responded to distress signal in orbit around planet %PLANET%. Pirates had captured freighter. Dispatched boarding shuttle. Freighter crew liberated, hostile agents captured and ejected from airlock.}",,,,,,
FLEET_COMBAT_T3_12,"{Tracked notable %RACE% pirate in the %SYSTEM% System. Target attempted to evade detection in a small fighter-class starship. When cornered, they ignored hails and made no attempt to surrender. Hostile engaged fleet single-handed. Bounty claimed.}",,,,,,
FLEET_COMBAT_T3_13,{Pursued bounties in the %SYSTEM% System. Traced %RACE% pirate warlord. Engaged fleet-to-fleet in orbit around planet %PLANET%. Hostiles clearly unused to fighting non-mercantile vessels. All targets destroyed.},,,,,,
FLEET_COMBAT_T3_14,"{Pursued bounties in the %SYSTEM% System. Followed conflicting reports of a feared %RACE% warrior. Pirate transpired to be several pirates all using the same name to increase their reputation. All claimants eliminated, multiple bounties collected.}",,,,,,
FLEET_COMBAT_T3_15,{Found large pirate fleet blockading station in %SYSTEM% System. Engaged hostile capital ships. Targets vanished when engaged. Analysis suggests holographic fleet projected by smaller pirate vessels.},,,,,,
FLEET_COMBAT_T3_16,{Responded to distress signal. Merchant freighter under attack from Sentinel battleship in %SYSTEM% System. Scrambled all forces. Lured Sentinel forces away from freighter and allowed them to escape.},,,,,,
FLEET_COMBAT_T3_17,{Set trap for pirates in orbit around planet %PLANET%. Small vessels posed as mining craft while main fleet hid in the asteroid belt. Bait taken by several hostile starships. Every ambusher destroyed in counter-ambush.},,,,,,
FLEET_COMBAT_T3_18,{Captured pirate fleet after short engagement. Ships were of poor quality. Scuttled captive vessels to prevent re-acquisition on the salvage market. Pirate crew deposited on nearby planet.},,,,,,
FLEET_COMBAT_T3_19,"{Assisted %RACE% system authorities. Pirates installed large weapon batteries on asteroids, hoping to pick off vulnerable mining vessels. Used shuttles to land expeditionary force at relevant sites. Explosive charges placed. Detonation successful.}",,,,,,
FLEET_COMBAT_T3_20,{Landed multiple boarding shuttles on asteroids across the %SYSTEM% System. Battle was wide-ranging but successful. Crews coordinated perfectly to eliminate both pirate combat forces and illegally-installed weapons batteries.},,,,,,
FLEET_COMBAT_T3_21,{Assisted %RACE% authorities in %SYSTEM% System. Pirates installed reflective surfaces on asteroids to disorientate both mining vessels and their escorts. Targeting systems switched to manual. Crew response excellent: all hostile installations destroyed.},,,,,,
FLEET_COMBAT_T3_22,"{Detected pirate fleet on long-range scanner. Performed calibrated pulse jump to arrive in perfect ambush position. All targets destroyed, fleet avoided all incoming damage.}",,,,,,
FLEET_COMBAT_T3_23,{Pirate installation detected on long-range scanner. Entered planetary orbit. Crew utilised new maneuver to execute coordinated weapons battery volley. Maneuver executed successfully. Pirate installation eliminated.},,,,,,
FLEET_COMBAT_T3_24,"{Tracked pirates in the %SYSTEM% System. Fighters deployed. Squadron executed new group combat tactics. Hostile pilots were of a poor standard, unable to properly evaluate maneuver. All targets destroyed.}",,,,,,
FLEET_COMBAT_T3_25,{Combat research team developed new weapon system. Conducted live-fire test in battle with pirates in the %SYSTEM% System. Test highly successful. All targets destroyed.},,,,,,
FLEET_COMBAT_T3_26,{Responded to emergency broadcast in %RACE% space. High-energy ballistic weapon launched from planet %PLANET% towards space station. Fighters scrambled. Missile intercepted and destroyed.},,,,,,
FLEET_COMBAT_T3_27,"{Responded to distress signal on planet %PLANET%. Pirates rigged trade outpost with explosives, then threatened to detonate unless paid. Boarding crew landed at distance and approached on foot. Explosives disarmed, pirates captured.}",,,,,,
FLEET_COMBAT_T3_28,"{Responded to emergency broadcast from planet %PLANET%. Pirates placed tectonic destabiliser in planet crust, demanding a ransom. Ground crew scouted area, fed coordinates to fleet. Orbital laser used to disable the device. Planet core undisturbed.}",,,,,,
FLEET_COMBAT_T3_29,"{Captured pirates in the %SYSTEM% System. Captives offered data in exchange for freedom. Data proved accurate: multiple pirate operations disrupted, large number of hostile starships destroyed.}",,,,,,
FLEET_COMBAT_T3_30,"{Encountered pirate blockade in orbit around planet %PLANET%. Analysis suggested a bluff: majority of pirate vessels were merchant-class. Approached blockage with weapons armed, hostiles scattered without shots fired.}",,,,,,
FLEET_COMBAT_SEC_1,"{Ambushed by hostile vessels while traversing %SYSTEM% Sector. Countermeasures deployed, pirates destroyed. Claimed bounty with system authorities.}",,,,,,
FLEET_COMBAT_SEC_2,"{Surveying %SYSTEM% Sector when approached by hostile vessels. Quickly repurposed survey laser to burn away starship shields. Hostiles destroyed, bounty claimed.}",,,,,,
FLEET_COMBAT_SEC_3,"{Refuelling in %SYSTEM% System when ambushed by hostile starships. Ejected and detonated fuel pods, destroying enemy vessels. Claimed bounty with local authorities.}",,,,,,
FLEET_COMBAT_SEC_4,"{In orbit around planet %PLANET% when ambushed by pirate vessels. Maneuvered into cloudbank, causing hostile starships to become disorientated and crash. Scanned wreckage, discovered pirates were wanted by local authorities.}",,,,,,
FLEET_COMBAT_SEC_5,{Purchasing supplies on planet %PLANET%. Merchant proved to be criminal and turned hostile. Internal Security responded quickly and neutralised the situation. Merchant rendered unconscious and handed over to station authorities.},,,,,,
FLEET_COMBAT_SEC_6,"{Mistaken for unarmed expedition by pirates in the %SYSTEM% System. Deployed weapons systems, destroyed would-be ambushers. Claimed bounty with system authorities.}",,,,,,
FLEET_COMBAT_SEC_7,"{Hailed by a lone %RACE% pilot. Contact was under false pretenses: pilot was bait for an ambush. Raised shields, scanned incoming vessels. Successfully warped to space station, handed data to system authorities.}",,,,,,
FLEET_COMBAT_SEC_8,{Fired upon while surveying %SYSTEM% System. Deployed reflective shields: hostile fire redirected to destroy their own ships. Scanned debris and discovered outstanding bounty.},,,,,,
FLEET_COMBAT_SEC_9,"{Attacked while scanning planet %PLANET%. Pirates had poor infosec defences. Overrrode navigation systems in hostile vessels, directed enemy fleet into nearby stellar flare. Claimed bounty.}",,,,,,
FLEET_COMBAT_SEC_10,"{Accidentally party to combat in %SYSTEM% System. Local merchants came to blows over trade deal, conflict accelerated out of control. Assisted local authorities in 'de-escalating' situation.}",,,,,,
FLEET_COMBAT_SEC_11,{Made alliance with local mining vessels in %SYSTEM% System. New allies attacked by pirates. Assisted in their defence. All hostiles destroyed.},,,,,,
FLEET_COMBAT_SEC_12,"{Discovered pirate base while scanning caves on planet %PLANET%. Placed explosive charges, collapsing cave entrance. Reported location to system authorities.}",,,,,,
FLEET_COMBAT_SEC_13,"{Decrypted radio traffic in the %SYSTEM% System while searching for profitable secrets. Instead, gained access to private piracy channels. Delivered data to system authorities in exchange for substantial reward.}",,,,,,
FLEET_COMBAT_SEC_14,"{Ambushed by pirates whilst towing mineral deposits from planet %PLANET%. Situation resolved: hostile failed to account for the momentum of the rocks. Enemy starship destroyed on impact. Mineral deposit spoiled, offset losses by claiming bounty.}",,,,,,
FLEET_COMBAT_SEC_15,"{Fired upon by hostile starships. Rerouted all power to the tractor beam. Collected both enemy weapons and starships. Processed all material for scrap, claimed bounties on hostile pilots.}",,,,,,
FLEET_COMBAT_SEC_16,{Scanned pirate vessels while surveying %SYSTEM% System. Pirates unappreciative of scan. Deployed weapons systems. Secured both knowledge and the payment of bounty.},,,,,,
FLEET_COMBAT_SEC_17,"{Surveying planet %PLANET% when encountered smugglers engaged in poaching operation. Fired warning shot, scattering the poachers. Reported activities to system authorities.}",,,,,,
FLEET_COMBAT_SEC_18,"{Scanned asteroids in orbit around planet %PLANET%. Pirates launched surprise attack. Raised shields and used asteroids as cover. Outmaneuvered hostile vessels. Pirates destroyed, bounty claimed.}",,,,,,
FLEET_COMBAT_SEC_19,{Attacked while surveying the %SYSTEM% Sector. Crew had been developing experimental weapons technology. Used opportunity to conduct live-fire test. Highly successful. All hostiles destroyed. Bounty claimed.},,,,,,
FLEET_COMBAT_SEC_20,"{Encountered a scientific expedition in %SYSTEM% Sector. Exchanged data, hosted visiting crews. Ambushed by pirates while in formation with other expedition. Deployed weapons systems. Successfully defended both fleets.}",,,,,,
FLEET_COMBAT_SEC_FAIL_1,"{Attacked by pirates in the %SYSTEM% System. All power directed to engines, escape successful.}",,,,,,
FLEET_COMBAT_SEC_FAIL_2,{Ambushed while conducting survey in %SYSTEM% System. Deployed countermeasures. Escaped without damage.},,,,,,
FLEET_COMBAT_SEC_FAIL_3,"{System proved unfruitful. Began preparations to leave. While validating warp calculations, fleet was ambushed by pirates. Shield held while warp navigation completed. Jumped without incurring structural damage.}",,,,,,
FLEET_COMBAT_SEC_FAIL_4,"{Attacked by %RACE% pirates. Hailed hostile commander and stalled for time, offering large bribes in exchange for a ceasefire. System authorities arrived while pirates considered the offer. All hostiles destroyed.}",,,,,,
FLEET_COMBAT_SEC_FAIL_5,{Mid-range scanners detected rapidly approaching pirate starships. Engaged warp drive before hostiles arrived. No losses.},,,,,,
FLEET_COMBAT_SEC_FAIL_6,"{Attacked by pirates while conducting survey in %SYSTEM% system. Radio tower knocked out of alignment, but countermeasures otherwise entirely successful. Warped away with no further damage.}",,,,,,
FLEET_COMBAT_SEC_FAIL_7,{Orbital geology scan of planet %PLANET% disrupted by hostile intervention. Data lost during emergency scan shut down. Shield held while warp drive was engaged. No physical damage.},,,,,,
FLEET_COMBAT_SEC_FAIL_8,{Ambushed by pirates in %SYSTEM% System. Entered asteroid ring around planet %PLANET% and hid from attackers.},,,,,,
FLEET_COMBAT_SEC_FAIL_9,{Hailed %RACE% freighter in %SYSTEM% System to negotiate fuel purchase. Freighter turned hostile. Warped out on emergency fuel. No damage taken.},,,,,,
FLEET_COMBAT_SEC_FAIL_10,"{Attacked by pirate fighter group. Small arms fire only, no hull damage. However, unable to continue planned business. Warped out.}",,,,,,
FLEET_COMBAT_SEC_FAIL_11,"{Fired upon while attempting to land on planet %PLANET%. No escort shuttles available, aborted landing. Departed system, began search for less dangerous site.}",,,,,,
FLEET_COMBAT_SEC_FAIL_12,{Ambushed by %RACE% pirates while orbiting planet %PLANET%. Detonated defensive EMP burst. Hostile ships disabled. Expedition delayed while systems recharge.},,,,,,
FLEET_COMBAT_SEC_FAIL_13,"{Attacked by pirates while traversing %RACE% space. Outran hostile ships, but expended considerable fuel. Diverted expedition to take on board additional fuel material.}",,,,,,
FLEET_COMBAT_SEC_FAIL_14,{Fired upon by hostile starships. Backup generator fast scrambled to provide power to shielding systems. Power surge caused minor data loss. Outran enemy vessels.},,,,,,
FLEET_COMBAT_SEC_FAIL_15,"{%SYSTEM% System registered for extreme conflict levels. Given expedition combat capabilities, probability of catastrophic damage estimated to be %NUM%%. Avoided system.}",,,,,,
FLEET_COMBAT_SEC_FAIL_16,{%RACE% authorities reacted poorly to expedition business in their system. Patrol ships approached with weapons armed. Considered it prudent to finish survey and leave as fast as possible.},,,,,,
FLEET_COMBAT_SEC_FAIL_17,"{%SYSTEM% Sector proved highly unstable. Attempted to conduct business, but insufficient escort capability for efficient operation. Plotted new course.}",,,,,,
FLEET_COMBAT_SEC_FAIL_18,{Deployed all scanning systems to conduct orbital survey of planet %PLANET%. Radar blackspot allowed pirate ambush. Conducted emergency warp procedure.},,,,,,
FLEET_COMBAT_SEC_FAIL_19,{Entered %SYSTEM% Sector. First contact scan revealed multiple pirate battlegroups. Immediately departed %SYSTEM% Sector.},,,,,,
FLEET_COMBAT_SEC_FAIL_20,"{%SYSTEM% Sector unpromising. Planets appear barren, and system conflict levels too high to safely deploy more detailed scanning equipment. Departed without conducting survey.}",,,,,,
FLEET_COMBAT_SEC_DAMAGE_1,{Ambushed by %RACE% pirates. Expedition ill-equipped to respond. Severe damage taken.},,,,,,
FLEET_COMBAT_SEC_DAMAGE_2,{Ambushed while surveying %SYSTEM% System. Expedition overwhelmed by enemy fire. Severe damage taken.},,,,,,
FLEET_COMBAT_SEC_DAMAGE_3,{Expedition weapons/defence systems overwhelmed during pirate ambush in the %SYSTEM% Sector. Heavy fire taken.},,,,,,
FLEET_COMBAT_SEC_DAMAGE_4,{Attacked by %NUM% pirates while in orbit around planet %PLANET%. Expedition unable to respond. Severe hull damage.},,,,,,
FLEET_COMBAT_FAIL_1,{Hostile forces engaged. Tactical retreat considered prudent in light of overwhelming enemy reinforcements.},,,,,,
FLEET_COMBAT_FAIL_2,"{Ambushed by hostile forces. Minor skirmish, sustained cosmetic damaged only.}",,,,,,
FLEET_COMBAT_FAIL_3,{Immobilised a suspected smuggler corvette. Forced to release target on presentation of legitimate papers.},,,,,,
FLEET_COMBAT_FAIL_4,"{Disabled a pirate supply vessel, but subsequent tractor beam failure allowed them to escape.}",,,,,,
FLEET_COMBAT_FAIL_5,{Ambushed by autonomous drone vessels. Disengaged to avoid unnecessary loss of life.},,,,,,
FLEET_COMBAT_FAIL_6,"{Crew member taken hostage on reconnaissance mission. Rescue successful, but sustained minor damage to the planetary shuttle.}",,,,,,
FLEET_COMBAT_FAIL_7,{Hostile forces fled on our arrival. Peace attained with minimal loss of life.},,,,,,
FLEET_COMBAT_FAIL_8,"{Intervened in pirate assault. Hostile ships neutralised, but unable to prevent destruction of the local station.}",,,,,,
FLEET_COMBAT_FAIL_9,{Repelled an attempted boarding. Airlocks taken offline for deep cleaning.},,,,,,
FLEET_COMBAT_FAIL_10,{Opened fire on hostile target. Vessel de-materialised; holographic projection technology suspected.},,,,,,
