SCAN_NO_TECH	{No scan technology installed}
BIO_TOXIC	{Toxic}
BIO_SCORCHED	{Scorched}
BIO_RADIOACTIVE	{Radioactive}
BIO_FROZEN	{Frozen}
BIO_BARREN	{Barren}
SUBSTANCE_MINERAL	{Oxide}
SUBSTANCE_SILICATE	{Silicate}
SUBSTANCE_ENERGY	{Isotope}
SUBSTANCE_STEEL	{Reinforced}
LASER	{LASER}
PROJECTILE	{PROJECTILE}
GRENADE	{GRENADE}
SCAN	{SCAN}
WEAPONS	{WEAPONS}
ARMOUR	{HEALTH}
HYPERDRIVEX	{HYPERDRIVE}
SUIT	{EXOSUIT}
WEAPON	{MULTI-TOOL}
SHIP	{STARSHIP}
DISCOVERIES	{DISCOVERIES}
OPTIONS	{OPTIONS}
RETURN	{RETURN}
PROTECTION	{PROTECTION}
STAMINA	{STAMINA}
UTILITIES	{UTILITIES}
GLXY_REGION	{REGION}
GLXY_PLANET_COUNT	{%i PLANET}
GLXY_PLANET_COUNT_PL	{%i PLANETS}
GLXY_IN_ORBIT	{IN ORBIT}
GLXY_SPECTRAL	{SPECTRAL}
GLXY_DIST_LIGHTYE	{%DISTANCE% LIGHTYEARS}
GLXY_LINEAR_DIST	{LINEAR DISTANCE}
GLXY_REQ_FUEL	{FUEL REQUIRED}
GLXY_CANT_WARP	{WARP IMPOSSIBLE}
GLXY_ERR_FUEL	{HYPERDRIVE HAS NO FUEL}
GLXY_ERR_NO_WARP	{NO HYPERDRIVE INSTALLED}
GLXY_ERR_AT_LOC	{Current Location}
GLXY_VALID_JUMP	{WARP COMPUTATION VALIDATED}
GLXY_VALID_JUMP_DESC	{PRESS TO ACCEPT}
GLXY_ERR_DEFAULT	{WARP COMPUTATION}
GLXY_ERR_DEFAULT_DESC	{UNKNOWN ERROR}
GLXY_DESC_DISCOV	{DISCOVERED %USER% BY}
GLXY_DESC_NO_REC	{NO RECORDS FOUND}
GLXY_DESC_UNDIS	{Undiscovered}
GLXY_DESC_ERR_TITLE	{Discovery Status Unknown}
GLXY_DESC_ERR_DESC	{NETWORK CONNECTION UNAVAILABLE}
YELLOW	{Yellow}
GREEN	{Green}
BLUE	{Blue}
RED	{Red}
TRADE_COST_PER	{%COST% per piece (%VARIANCE% Galactic Avg.)}
TRADE_SELL_TO	{Sell item to the Trade Network}
TRADE_SELL_FOR	{SELL %AMOUNT% for %PRICE% UNITS}
REPAIR	{REPAIR}
REPAIR_TITLE	{Repair}
REPAIR_DESC	{Repair this technology}
HEALTH	{Health}
UNITS	{Get units}
STANDING	{Increase standing}
HAZARD	{Protection}
BLUEPRINT	{Get blueprint}
NEXT_PAGE	{NEXT PAGE}
PREV_PAGE	{PREV PAGE}
TRADE_BUY	{Buy items from the Galactic Trade Network}
TRADE_SELL	{Sell items from your inventories}
TRADE_SUIT_INVENTORY	{EXOSUIT INVENTORY}
TRADE_SHIP_INVENTORY	{STARSHIP INVENTORY}
TRADE_FREIGHT_INVENTORY	{FREIGHTER INVENTORY}
TRADE_BUY_FOR	{BUY %AMOUNT% for %PRICE% UNITS}
TRADE_BUY FROM	{Buy item from the trade network}
BIO_DAMAGE_TOXIC	{TOXIC RAIN}
BIO_DAMAGE_SCORCHED	{INTENSE HEAT}
BIO_DAMAGE_RADIOACTIVE	{RADIATION}
BIO_DAMAGE_FROZEN	{INTENSE COLD}
SUBSTANCE_MINERAL_U	{OXIDE}
SUBSTANCE_SILICATE_U	{SILICATE}
SUBSTANCE_ENERGY_U	{ISOTOPE}
CHARGE_TITLE	{CHARGE}
CHARGE_SUBTITLE	{Collect %SUBSTANCE% to charge up your %TECH%}
OPEN_INVENTORY_PROMPT	{Press <IMG>INVENTORY<> to open Inventory}
AMOUNT_OF_MAX	{%AMOUNT% of %MAX%}
INVENTORY	{%TYPE% INVENTORY}
PRODUCTS_ALL	{ALL PRODUCTS}
TECH_ALL	{ALL TECHNOLOGY}
SUBSTANCE_MINERAL_INTRCT	{<COMMODITY>Oxide<>}
SUBSTANCE_SILICATE_INTRCT	{<TECHNOLOGY>Silicate<>}
SUBSTANCE_ENERGY_INTRCT	{<FUEL>Isotope<>}
PRODUCT_REQ	{Craft products in inventory slots}
SUBSTANCE_REQ	{Gather elements}
PRODUCT_REQ_TITLE	{Required Parts}
OPTIONS_R1	{Melee <IMG>MELEE<>}
OPTIONS_R2	{Fire <IMG>ATTACK<>}
OPTIONS_R3	{Zoom Analysis Visor <IMG>ZOOM<>}
OPTIONS_L1	{<IMG>ALTATTACK<> Fire Grenade}
OPTIONS_L2	{<IMG>AIM<> Analysis Visor}
OPTIONS_L3	{<IMG>RUN<> Sprint}
OPTIONS_OPTIONS	{<IMG>INVENTORY<> Open Inventory}
OPTIONS_TOUCHPAD	{<IMG>INVENTORY<> Galactic Map}
OPTIONS_SQUARE	{Interact <IMG>INTERACT<>}
OPTIONS_CIRCLE	{Scan <IMG>SCAN<>}
OPTIONS_X	{Activate Jetpack <IMG>JUMP<>}
OPTIONS_CYCLEWEAPON	{Switch Multi-tool mode <IMG>CYCLEWEAPON<>}
OPTIONS_LEFTSTICK	{<IMG>MOVE<> Move}
OPTIONS_RIGHTSTICK	{Look <IMG>LOOK<>}
NAMEGEN_SUFFIX_REGION_1	{%NAME% Adjunct}
NAMEGEN_SUFFIX_REGION_2	{%NAME% Void}
NAMEGEN_SUFFIX_REGION_3	{%NAME% Expanse}
NAMEGEN_SUFFIX_REGION_4	{%NAME% Terminus}
NAMEGEN_SUFFIX_REGION_5	{%NAME% Boundary}
NAMEGEN_SUFFIX_REGION_6	{%NAME% Fringe}
NAMEGEN_SUFFIX_REGION_7	{%NAME% Cluster}
NAMEGEN_SUFFIX_REGION_8	{%NAME% Mass}
NAMEGEN_SUFFIX_REGION_9	{%NAME% Band}
NAMEGEN_ADORN_1	{%NAME% Prime}
NAMEGEN_ADORN_2	{%NAME% Major}
NAMEGEN_ADORN_3	{%NAME% Minor}
NAMEGEN_ADORN_4	{New %NAME%}
GLXY_ANALYSIS_RESULT	{ANALYSIS}
GLXY_PUSH_NAV	{<IMG>GALAXYMOVE<> ROTATE <GAP><IMG>LOOK<> PUSH SELECT}
GLXY_DESELECT	{<IMG>DESELECT<> DESELECT}
GLXY_ROUTE_CORE	{Path towards galactic core}
GLXY_ROUTE_WAYPOINT	{Path towards waypoint}
GLXY_ROUTE_FREE	{Free exploration mode}
GLXY_ANALYSIS_PLANETS	{%i Planet}
GLXY_ANALYSIS_PLANETS_PL	{%i Planets}
GLXY_ANALYSIS_BLACKHOLE	{CAUTION - Black hole detected}
GLXY_ANALYSIS_ATLAS	{Anomalous energy signature detected}
GLXY_ANALYSIS_SPECTRAL	{Class %PROCSPEC%}
GLXY_SELECT	{<IMG>SELECT<> SELECT <GAP><IMG>GALAXYHOME<> LOCATION <GAP><IMG>DESELECT<> EXIT MAP}
GLXY_LOOK	{<IMG>GALAXYMOVE<> FLY <GAP><IMG>ACCELERATE<> ACCELERATE <GAP><IMG>LOOK<> LOOK}
GLXY_DISCOVERY_TITLE	{DISCOVERED BY}
GLXY_DISCOVERY_DATA	{%USERNAME% on %DATE%}
GLXY_SET_WAYPOINT	{SET WAYPOINT}
GLXY_CLEAR_WAYPOINT	{CLEAR WAYPOINT}
GLXY_DISTANCE_LY	{%DISTANCE% Light-years}
MOON_DESC	{Moon of %PLANET%}
CONTAINER_LABEL	{Container}
CONTAINER_LABEL_SUB	{Reinforced}
ASTEROID_LABEL	{Asteroid}
ASTEROID_LABEL_SUB	{Elements}
NPC_TRADER_BUY_SHIP	{Make an offer on the lifeform's starship}
NPC_TRADER_SELL_ITEMS	{Sell items to the lifeform}
NPC_TRADER_BUY_ITEMS	{Buy items from the lifeform}
TURRET_LABEL	{Defence Turret}
TURRET_LABEL_SUB	{Reinforced}
SUBSTANCE_TRADE_U	{NEUTRAL}
SUBSTANCE_TRADE	{Neutral}
SUBSTANCE_TRADE_INTRCT	{<TRADE>Neutral<>}
SUIT_BOOT_MSG	{เริ่มระบบ...}
GLXY_DESELECT_OR_WARP	{<IMG>SELECT<> WARP <GAP><IMG>DESELECT<> DESELECT}
GLXY_WAYPOINT_TITLE	{NAVIGATION SYSTEMS}
GLXY_WAYPOINT_ADD	{ADD WAYPOINT}
GLXY_WAYPOINT_CLEAR	{REMOVE WAYPOINT}
GLXY_WAYPOINT_CLEAR_ALL	{REMOVE ALL WAYPOINTS}
GLXY_WAYPOINT_TOOMANY	{Waypoint Limit Reached}
MINERAL_SUFFIX	{ite}
BUY	{BUY}
TRADE_BUY_PRICE	{Buy %AMOUNT% for <COMMODITY>%PRICE%<> units}
TRADE_SELL_PRICE	{Sell %AMOUNT% for <COMMODITY>%PRICE%<> units}
TRADE_INV_FULL	{Full}
TRADE_INV_EMPTY	{Inventory Empty}
PLAYER_MONEY_TITLE	{Units:}
PRESENCE_DOCKED	{Docked in %PLACE_NAME%}
PRESENCE_EXPLORE	{Exploring %PLACE_NAME%}
PRESENCE_SPACE	{Flying through %SYSTEM_NAME%}
DISC_REPORT_DESC	{Report this discovery as offensive or inappropriate}
DISC_REPORT	{REPORT}
DISC_HIDE_DESC	{Hide this discovery}
DISC_HIDE	{HIDE}
GAME_OPTIONS	{GAME OPTIONS}
VOLUNTARY_DEATH_OPTION	{Restore to last save}
DISC_OWNER_HIDDEN_TIME	{Discovered on %DATETIME%}
DISC_OWNER_HIDDEN	{Discovered}
DISC_OWNER_NORMAL	{Discovered by %USERNAME%}
DISC_OWNER_NORMAL_TIME	{Discovered by %USERNAME% on %DATETIME%}
DISC_OWNER_NONE	{Undiscovered}
DISC_OWNER_IS_PLAYER	{You discovered this}
DISC_OWNER_IS_PLAYER_TIME	{You discovered this on %DATETIME%}
DISC_OWNER_PLAYER_CM	{You}
DISC_OWNER_PLAYER_CM_TIME	{You, on %DATETIME%}
NET_OFFLINE	{You have lost connection to online discovery services, press <IMG>DISNETRETRY<> to reconnect}
NET_IN_PROGRESS	{Connecting to Online Discovery Services}
NET_ONLINE	{Online Discovery Services Active}
NET_UNAVAILABLE	{You have lost connection to online discovery services}
NET_TITLE	{Network warning}
GLXY_ANALYSIS_MOON	{%i Moon}
GLXY_ANALYSIS_MOON_PL	{%i Moons}
GLXY_ANALYSIS_CENTER	{???????}
GLXY_CENTER_NAME	{Galaxy Centre}
GLXY_CENTER_REGION	{Unknown}
CANT_SAVE_WANTED	{You can't save}
PIRATE_PROBE	{Hostile sub-space scan detected}
PIRATE_PROBE_SUCCESS	{Hostile sub-space scan found valuable cargo}
PIRATE_PROBE_FAIL	{Hostile sub-space scan failed}
PIRATES_BATTLE_JOINED	{Engaging Attack Ships}
TRANSFER_DESC_TRADE	{Transfer elements between inventories}
NET_ATTEMPTING	{Attempting Connection...}
NET_ATTEMPT_FAIL	{Unable To Connect}
TRADE_EMPTY	{Empty}
NEW_SUIT_SLOT	{Install New Suit Slot}
JOURNEY_TITLE	{JOURNEY MILESTONES}
JOUR_TOT_TITLE	{Total Journey Milestones accomplished:}
JOUT_NXT_MILESTONE	{Progress to next Milestone: %CURRENT% / %NEXT%}
PIN_RECIP	{PIN}
PIN_RECIP_DESC	{Pin formula}
PRODUCT_REQUIRED	{%PRODUCT% Required}
GLXY_CENTER_DIST	{DISTANCE TO CENTRE}
UNPIN_RECIP	{Unpin formula}
OPT_TOUCH_TXT	{<IMG>INVENTORY<> Inventory}
OPT_L2_TXT	{<IMG>AIM<> Vision Enhancer}
OPT_L1_TXT	{<IMG>ALTATTACK<> Fire Grenade}
OPT_DDOWN_TXT	{<IMG>QUICK_MENU<> Galactic Map}
OPT_L3_TXT	{<IMG>SHOWHUD<> Show HUD}
OPT_LS_TXT	{<IMG>MOVE<> Move}
OPT_OPTIONS_TXT	{Discoveries/Options <IMG>OPTIONS<>}
OPT_R2_TXT	{Fire <IMG>ATTACK<>}
OPT_R1_TXT	{Melee <IMG>MELEE<>}
OPT_TRIANGLE_TXT	{Switch Weapon Mode <IMG>CYCLEWEAPON<>}
OPT_CIRCLE_TXT	{Scan <IMG>SCAN<>}
OPT_CROSS_TXT	{Activate Jetpack <IMG>JUMP<>}
OPT_SQUARE_TXT	{Interact <IMG>INTERACT<>}
OPT_R3_TXT	{Sprint <IMG>RUN<>}
OPT_RS_TXT	{Look <IMG>LOOK<>}
TELEPORT	{TELEPORT ITEMS}
GLXY_TUT_INVALID_JUMP	{ANOMALOUS SIGNAL BLOCKING WARP}
SENTINELS_ARRIVED	{Sentinels Arrived}
SENTINELS_EVADED	{Sentinel Force Deactivated}
SENTINEL_POLICE_ALERTED	{Sentinel Starships Incoming}
SENTINEL_POLICE_ARRIVING	{Sentinel Starships in Combat Range}
CURIOSITY	{CURIOSITY}
COMPONENT	{COMPONENT}
DEVICE	{DEVICE}
GENERIC_ITEM	{ITEM}
GENERIC_OBJECT	{OBJECT}
SUBSTANCE_SPECIAL_U	{EXOTIC}
SUBSTANCE_SPECIAL	{Exotic}
SUBSTANCE_SPECIAL_INTRCT	{<SPECIAL>Exotic<>}
DISC_UPLOAD_AMOUNT	{%AMOUNT% Units %CLASS% Discovery Uploaded}
WARN_TECH_DAMAGED	{This technology is critically damaged}
TELEPORT_VERB	{TELEPORT}
OPTS_REVERT_TO_CURRENT	{Reload current [ %TIMESTAMP% ]}
OPTS_NO_CURRENT_SAVE	{Current : No Data}
OPTS_REVERT_TO_PREV	{Reload previous [ %TIMESTAMP% ]}
OPTS_NO_PREVIOUS_SAVE	{Previous : No Data}
OPTS_SAVEGAMES	{SAVED GAME DATA}
OPTS_PHOTOMODE_ON	{Remove HUD : On}
OPTS_PHOTOMODE_OFF	{Remove HUD : Off}
PROC_FLAVOUR_MONOLITH_1	{Ashes of the %PROCNAME%}
PROC_FLAVOUR_MONOLITH_2	{Legacy of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_3	{%PROCNAME% Landmark}
PROC_FLAVOUR_MONOLITH_4	{Memories of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_5	{Remnants of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_6	{The %PROCNAME% Fragment}
PROC_FLAVOUR_MONOLITH_7	{Ruins of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_8	{Tribute to %PROCNAME%}
PROC_FLAVOUR_TERMINAL_1	{Terminal %SERIALNUM%}
PROC_FLAVOUR_TERMINAL_2	{Site %SERIALNUM%}
PROC_FLAVOUR_TERMINAL_3	{Outpost %SERIALNUM%}
PROC_FLAVOUR_TERMINAL_4	{%SERIALNUM% Interface}
PROC_FLAVOUR_OBS_1	{%PROCNAME% Reflector}
PROC_FLAVOUR_OBS_2	{%PROCNAME% Station}
PROC_FLAVOUR_OBS_3	{%PROCNAME% Outlook}
PROC_FLAVOUR_RADIO_1	{%PROCNAME% Tower}
PROC_FLAVOUR_RADIO_2	{%PROCNAME% Relay}
