location,source
FLEET_MINING_SPECIAL_LOG_B_5,"{Began mining in the %SYSTEM% System. The %CAP_RACE% advised surface-based operations. Hazardous environmental conditions overwhelmed the crew, dissolving their equipment. Operation aborted.}"
FLEET_MINING_SPECIAL_LOG_C_5,"{Began mining in the %SYSTEM% System. The %CAP_RACE% advised deep-level mining. Specialist crew deployed, rich mineral seams discovered. Operation successful.}"
FLEET_MINING_SPECIAL_LOG_D_5,"{Began mining in the %SYSTEM% System. The %CAP_RACE% advised deep-level mining. Planet stability compromised. Tunnel collapse caused catastrophic loss of equipment, some crew.}"
FLEET_MINING_SPECIAL_6,"{%CAP_RACE%, greetings from the %SYSTEM% Sector. We have found a particularly rich asteroid field, each rock a feast of precious metal! But the field is crowded with starships. We risk upsetting the %RACE% miners already at work. What should we do?}"
FLEET_MINING_SPECIAL_OPT_A_6,{Begin mining}
FLEET_MINING_SPECIAL_OPT_B_6,{Move on}
FLEET_MINING_SPECIAL_RES_A_6,{I tell them to go for it. Hope they'll be ok.}
FLEET_MINING_SPECIAL_RES_B_6,{I tell the fleet commander not to upset local miners. There will be other mineral fields.}
FLEET_MINING_SPECIAL_LOG_A_6,"{Arrived in a busy mineral field in the outer %SYSTEM% Sector. Began operations on advice of the %CAP_RACE%. Despite some protests by local miners, gathered and processed substantial volume of valuable metal.}"
FLEET_MINING_SPECIAL_LOG_B_6,{Arrived in a busy mineral field in the outer %SYSTEM% Sector. Began operations on advice of the %CAP_RACE%. Local miners objected to the intrusion and deployed weapons. Retreated.}
FLEET_MINING_SPECIAL_LOG_C_6,"{Arrived in a busy mineral field in the outer %SYSTEM% Sector. On advice of the %CAP_RACE%, left local miners in peace. Began search for alternative sites.}"
FLEET_MINING_SPECIAL_7,"{%CAP_RACE%, our salvage crews have made a very special discovery. They have located an extremely rare starship, abandoned and empty on the planet's surface. Join us in the %SYSTEM% System at once, and claim it for yourself!}"
FLEET_MINING_SPECIAL_8,"{%CAP_RACE%, greetings from your fleet! We have reached the %SYSTEM% Sector. Our salvage recovery drones have spotted an abandoned starship of particular interest. A rare model, it deserves more than the scrapheap. Come claim it for yourself, %CAP_RACE%!}"
FLEET_MINING_SPECIAL_9,"{%CAP_RACE%. The expedition proceeds smoothly. Here in the %SYSTEM% System, among the metal mines and processing plants of the %RACE%, our salvage team have made a special discovery. A rare starship, abandoned and empty! Come, join us and claim it!}"
FLEET_MINING_SPECIAL_OPT_A_7,{Accept the ship}
FLEET_MINING_SPECIAL_OPT_B_7,{Decline the ship}
FLEET_MINING_SPECIAL_RES_A_7,"{Very well, %CAP_RACE%. I shall send you the coordinates immediately.}"
FLEET_MINING_SPECIAL_RES_B_7,"{I thank the commander for their thoughtfulness. However, I already have all the starships I need.}"
FLEET_MINING_SPECIAL_LOG_A_7,{Located an exotic starship in the %SYSTEM% System. Pinpointed the location so the %CAP_RACE% could collect it.}
FLEET_MINING_SPECIAL_LOG_B_7,"{Located an exotic starship in the %SYSTEM% System. %CAP_RACE% did not need it, so deployed salvage crews to recover and recycle the vessel.}"
FLEET_MINING_SPECIAL_10,"{%CAP_RACE%, the expedition goes well, but we require your assistance. Our geologists require your assistance! The mining team have collected several rare ores, but we are struggling to analyse them. Perhaps if you were able to find some comparative data?}"
FLEET_MINING_SPECIAL_11,"{Greetings, %CAP_RACE%. Our geology team has requested your assistance. They are busy analysing a fresh sample, but require a larger data set to work from. They respectfully request you assist them by acquiring detailed mineral scans.}"
FLEET_MINING_SPECIAL_OPT_A_10,{Agree to help}
FLEET_MINING_SPECIAL_OPT_B_10,{Tell them to the buy data}
FLEET_MINING_SPECIAL_RES_A_10,"{Thank you, %CAP_RACE%. We look forward to receiving the data.}"
FLEET_MINING_SPECIAL_RES_B_10,{I instruct the fleet commander to purchase data locally. The local Explorers Guild will be able to help.}
FLEET_MINING_SPECIAL_LOG_A_10,{Discovered novel mineral type in the %SYSTEM% System. %CAP_RACE% assisted with research. Minerals proved highly valuable.}
FLEET_MINING_SPECIAL_LOG_B_10,"{Discovered novel mineral type in the %SYSTEM% System. %CAP_RACE% advised local Explorers Guild may assist with research. Found willing researcher, minerals proved highly valuable.}"
FLEET_MINING_SPECIAL_LOG_C_10,"{Discovered novel mineral type in the %SYSTEM% System. %CAP_RACE% advised local Explorers Guild may assist with research. Minerals proved valuable, but Guild payments were steep. Little profit made.}"
FLEET_MINING_SPECIAL_12,"{Greetings, %CAP_RACE%. We have made excellent progress, and are now in the %SYSTEM% System, an area of %RACE%-controlled space. The minerals here are rich and plentiful. That is not the subject at hand, however. We have encountered a strange energy disturbance, which analysis suggests is a wormhole. If you desire, we could calibrate it to your signal, pulling you to our location instantly.}"
FLEET_MINING_SPECIAL_OPT_A_12,{Accept}
FLEET_MINING_SPECIAL_OPT_B_12,{Decline}
FLEET_MINING_SPECIAL_RES_A_12,"{I accept the offer. The fleet commander looks slightly nervous, but turns to prepare their systems.}"
FLEET_MINING_SPECIAL_RES_B_12,{I decline to be a test subject for this supposed wormhole. The fleet commander appears slightly relieved.}
FLEET_MINING_SPECIAL_LOG_A_12,{Encountered a wormhole in %RACE%-controlled space. Calibrated the anomaly to the %CAP_RACE%'s signal and transported them to our location.}
FLEET_MINING_SPECIAL_LOG_B_12,"{Encountered a wormhole in %RACE%-controlled space. Offered the %CAP_RACE% the opportunity to join the fleet via wormhole transport, but they declined the offer.}"
FLEET_MINING_SPECIAL_13,"{Greetings, %CAP_RACE%. The mission has proceeded smoothly to the %SYSTEM% System, an area of %RACE% space. We have mined deep, and profited greatly! But we have observed a strange energy disturbance, which we are 99% certain is a wormhole. If you desire, we could calibrate it to your signal, pulling you to our location instantly.}"
FLEET_MINING_SPECIAL_OPT_A_13,{Accept}
FLEET_MINING_SPECIAL_OPT_B_13,{Decline}
FLEET_MINING_SPECIAL_RES_A_13,{I accept the offer. A fleeting worried look passes over the commander's face as they turn to their chief engineer. I begin to regret my decision...}
FLEET_MINING_SPECIAL_RES_B_13,"{I decline the commander's offer. The minerals may be valuable, but I am content to let the fleet extract them without my being sent through a wormhole.}"
FLEET_MINING_SPECIAL_14,"{Greetings from the %SYSTEM% System, %CAP_RACE%! Local %RACE% authorities have been cooperative, and our salvage teams have made great profits. But this system is full of strange energy disturbances. They appear to be wormholes, and analysis suggests we could tune one to your signal. Will you join us? The process will be instantaneous.}"
FLEET_MINING_SPECIAL_OPT_A_14,{Accept}
FLEET_MINING_SPECIAL_OPT_B_14,{Decline}
FLEET_MINING_SPECIAL_RES_A_14,"{I accept the commander's 'offer'. It will be good to see their ships again. As the signal fades, I see the commander glance down at a data readout, a look of concern on their face...}"
FLEET_MINING_SPECIAL_RES_B_14,"{I decline the offer. I tell the commander that I have great faith in their ability, and do not need to come check up on them. Particularly via an untested wormhole.}"
FLEET_MINING_SPECIAL_15,"{Greetings, %CAP_RACE%. Our mining teams have a dilemma, and they look to you for advice. The planet %PLANET% is full of mineral-rich magma. Each gallon is a valuable prize. But how deep should we drill? How much should we risk for this profit?}"
FLEET_MINING_SPECIAL_OPT_A_15,"{Drill with caution, taking measurements}"
FLEET_MINING_SPECIAL_OPT_B_15,{Drill as deep as possible}
FLEET_MINING_SPECIAL_RES_A_15,"{I give the fleet commander specific instructions. The miners are to act with caution, taking measurements as they drill. Magma may be rich in minerals, but having it flood the tunnels is highly undesirable.}"
FLEET_MINING_SPECIAL_RES_B_15,"{I tell the fleet commander to drill deep, to be a pioneer of the depths. There is much to be won, both in mineral wealth and scientific discovery.}"
FLEET_MINING_SPECIAL_LOG_A_15,"{Began deep-level mining operations on planet %PLANET%. On advice of the %CAP_RACE%, took great caution when working near magma veins. Work was slow, but moderately profitable.}"
FLEET_MINING_SPECIAL_LOG_B_15,"{Began deep-level mining operations on planet %PLANET%. With encouragement of the %CAP_RACE%, sunk tunnels to unprecedented depths. Harvested vast amount of mineral-rich magma.}"
FLEET_MINING_SPECIAL_LOG_C_15,"{Began deep-level mining operations on planet %PLANET%. With encouragement of the %CAP_RACE%, sunk tunnels to unprecedented depths. Walls collapsed, tunnels flooded with superheated magma.}"
FLEET_MINING_SPECIAL_16,"{%CAP_RACE%, I bring bad news from the %SYSTEM% System. One of our mining teams has been lost in a tunnel collapse. The entire area has become unstable. We could send a second team in to mount a rescue, but it is fraught with risk. What should we do?}"
FLEET_MINING_SPECIAL_OPT_A_16,{Rescue the crew}
FLEET_MINING_SPECIAL_OPT_B_16,{Abandon the crew}
FLEET_MINING_SPECIAL_RES_A_16,{I tell the fleet commander to prepare a rescue immediately. Leave no-one behind.}
FLEET_MINING_SPECIAL_RES_B_16,"{With regret, I tell the fleet commander to withdraw. Sending more crew headlong into danger will only cost more lives.}"
FLEET_MINING_SPECIAL_LOG_A_16,{Tunnel collapsed while mining on planet %PLANET%. Deployed rescue team on advice from the %CAP_RACE%. Operation highly successful: recovered both the crew and the minerals they gathered.}
FLEET_MINING_SPECIAL_LOG_B_16,"{Tunnel collapsed while mining on planet %PLANET%. Deployed rescue team on advice from the %CAP_RACE%. Planetary seismic activity remained high, and the rescue crew was also lost to the shifting earth.}"
FLEET_MINING_SPECIAL_LOG_C_16,{Tunnel collapsed while mining on planet %PLANET%. Consulted the %CAP_RACE% and evacuated rather than risk further lives in a rescue. Mining crew lost.}
FLEET_MINING_SPECIAL_17,"{%CAP_RACE%, it is good to see you. The expedition goes well, but we have a difficult decision to make. I need your advice. Our salvage crew have located a crashed freighter. But they are afraid to begin processing. They claim the ship is haunted, and do not wish to step inside.}"
FLEET_MINING_SPECIAL_OPT_A_17,{Order them to go ahead}
FLEET_MINING_SPECIAL_OPT_B_17,{Tell them to move on}
FLEET_MINING_SPECIAL_RES_A_17,{I tell the %CAP_RACE% to order the crew into the wreck. Whatever is 'haunting' the ship is likely to be highly valuable technology.}
FLEET_MINING_SPECIAL_RES_B_17,"{I tell the %CAP_RACE% to stand the crew down. It seems unlikely that the ship is haunted, but it is not worth testing the loyalty of the crew.}"
FLEET_MINING_SPECIAL_LOG_A_17,"{Discovered freighter wreck in %SYSTEM% System. Crew reluctant to enter, claiming it haunted. %CAP_RACE% rallied salvage crew, and operation was highly successful.}"
FLEET_MINING_SPECIAL_LOG_B_17,"{Discovered freighter wreck in %SYSTEM% System. Crew reluctant to enter, claiming it haunted. %CAP_RACE% encouraged them, but operation proved costly. Strange signals echoed '16' throughout the hull, driving the crew from the wreck.}"
FLEET_MINING_SPECIAL_LOG_C_17,"{Discovered freighter wreck in %SYSTEM% System. Crew reluctant to enter, claiming it haunted. %CAP_RACE% advised leaving the wreck alone.}"
FLEET_MINING_SPECIAL_18,"{%CAP_RACE%, it is good to see you. We entered %RACE% space, and began operations on planet %PLANET%. And now, I am faced with a dilemma. I need your advice. The deep-level mining team are refusing to dig any deeper. They have reached a strange fissure, and they believe they hear otherworldly voices. How should I proceed?}"
FLEET_MINING_SPECIAL_OPT_A_18,{Encourage them to dig on}
FLEET_MINING_SPECIAL_OPT_B_18,{Retreat}
FLEET_MINING_SPECIAL_RES_A_18,{I tell the %CAP_RACE% to dig deeper. These 'voices' are likely just a release of pressurised gas.}
FLEET_MINING_SPECIAL_RES_B_18,{I tell the %CAP_RACE% to withdraw their crew. Whatever dwells in the deep is not worth angering.}
FLEET_MINING_SPECIAL_LOG_A_18,{Crew heard strange whispers while mining deep in planet %PLANET%. Continued to dig after consulting the %CAP_RACE%. No further anomalies. Operation successful.}
FLEET_MINING_SPECIAL_LOG_B_18,"{Crew heard strange whispers while mining deep in planet %PLANET%. Continued to dig after consulting the %CAP_RACE%. Shortly after, all contact lost. Abandoned operation and fled.}"
FLEET_MINING_SPECIAL_LOG_C_18,{Crew heard strange whispers while mining deep in planet %PLANET%. Withdrew after consulting the %CAP_RACE%.}
FLEET_MINING_SPECIAL_19,"{%CAP_RACE%. Our mission has gone well, so far. The %SYSTEM% Sector has been a profitable mining ground for us. But now, I need your clearance to proceed. Our salvage team have recovered a highly volatile reactor core. The engineers believe they can safely dismantle it, but I fear it comes at great risk to the crew and the ship. Should I allow them to try?}"
FLEET_MINING_SPECIAL_OPT_A_19,{Give permission}
FLEET_MINING_SPECIAL_OPT_B_19,{Withhold permission}
FLEET_MINING_SPECIAL_RES_A_19,"{Very well, %CAP_RACE%. It is good to have your confidence. Your faith will encourage the crew.}"
FLEET_MINING_SPECIAL_RES_B_19,{I tell the fleet commander not to take the risk. There will be many other opportunities on this voyage without bringing volatile nuclear fuel onboard.}
FLEET_MINING_SPECIAL_LOG_A_19,"{Recovered volatile reactor from planet %PLANET%. With permission from the %CAP_RACE%, dismantled the reactor and sold valuable and exotic components.}"
FLEET_MINING_SPECIAL_LOG_B_19,"{Recovered volatile reactor from planet %PLANET%. With permission from the %CAP_RACE%, dismantled the reactor. Subsequent fuel leak caused tremendous damage to hull integrity.}"
FLEET_MINING_SPECIAL_LOG_C_19,{Recovered volatile reactor from planet %PLANET%. Risk of fuel leak: high. Took advice from the %CAP_RACE% and jettisoned the reactor.}
FLEET_MINING_SPECIAL_20,"{I hope this message finds you well, %CAP_RACE%, and I trust you find our progress to be satisfactory. The %SYSTEM% System has been particularly profitable for us. But I bring you a dilemma. The storms here are ferocious, and we have only so many hazard filters. Should we direct our efforts towards mining valuable chromatic metal, or invest in the salvage teams? The storms have claimed many ships, and the debris fields are extensive...}"
FLEET_MINING_SPECIAL_OPT_A_20,{Mine metals}
FLEET_MINING_SPECIAL_OPT_B_20,{Recover salvage}
FLEET_MINING_SPECIAL_RES_A_20,"{Understood, %CAP_RACE%. I will deploy the mining team immediately.}"
FLEET_MINING_SPECIAL_RES_B_20,"{Understood, %CAP_RACE%. I will deploy the salvage crew immediately.}"
FLEET_MINING_SPECIAL_LOG_A_20,"{Deployed mining team to storm-ravaged mineral field on planet %PLANET%. Excellent progress, despite environmental hazards. Operation successful.}"
FLEET_MINING_SPECIAL_LOG_B_20,{Deployed mining team to storm-ravaged mineral field on planet %PLANET%. Environmental hazards made work difficult. Teams unable to gather meaningful quantity of metal.}
FLEET_MINING_SPECIAL_LOG_C_20,"{Deployed salvage recovery team to storm-ravaged debris field on planet %PLANET%. Despite environmental hazards, crew recovered large number of abandoned starships. Operation successful.}"
FLEET_MINING_SPECIAL_LOG_D_20,{Deployed salvage recovery team to storm-ravaged debris field on planet %PLANET%. Environmental hazards made work difficult. Little salvage recovered.}
FLEET_TRADING_SPECIAL_1A,"{%CAP_RACE%. We have acquired valuable market data, a profit is almost certain! But... the content is in an unintelligible alien language, and we cannot decipher it. We require your insight! But this channel is not secure. We have deposited a copy of the market data on a secure trading line for you to examine.}"
FLEET_TRADING_SPECIAL_1B,"{%CAP_RACE%. Our spies have secured valuable trade secrets! We will soon be rich! But... there is a slight obstacle. The message is in an alien language, and we cannot read it. We require your assistance! This channel is not secure, not enough to send secrets. We have deposited a copy of the message on a secure server for you.}"
FLEET_TRADING_SPECIAL_1C,"{%CAP_RACE%, good news! The %RACE% ambassador joined us for a feast, and left behind valuable documents! We are sure to profit! But before we can act, there is a small problem. The documents are untranslated, and we cannot read them. This channel is not appropriate for sending secrets. We have deposited a copy of the document on a secure server. Please, help us translate!}"
FLEET_TRADING_SPECIAL_OPT_A_1,{Undertake translation}
FLEET_TRADING_SPECIAL_OPT_B_1,{Decline}
FLEET_TRADING_SPECIAL_RES_A_1,{I agree to read the message. The fleet commander supplies coordinates for the secure message module.}
FLEET_TRADING_SPECIAL_RES_B_1,"{I tell the fleet commander not to take advantage of this data. Even if we could translate it accurately, the scheme is likely to be illegal and leaves us open to further trouble.}"
FLEET_TRADING_SPECIAL_1_OSD,{SECURE TRADE MODULE LOCATED}
FLEET_TRADING_SPECIAL_1_MARKER,{Secure Trade Message}
FLEET_TRADING_SPECIAL_1_TITLE,{SECURE MESSAGE MODULE}
FLEET_TRADING_SPECIAL_1_DESC,"{The fleet commander has not let me down. Their trading data is here, ready to download and translate.}"
FLEET_TRADING_SPECIAL_OPT_A_1B,{Read Message}
FLEET_TRADING_SPECIAL_OPT_B_1B,{Leave}
DNT_FLEET_TRADING_TRANSLATE_1,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_2,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_3,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_4,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_5,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_6,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_7,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_8,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_9,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
DNT_FLEET_TRADING_TRANSLATE_10,{Much carbon found on planet! Sell now! Buy metal - much demand for drills!}
FLEET_TRADING_SPECIAL_OPT_A_1C,{Invest in carbon}
FLEET_TRADING_SPECIAL_OPT_B_1C,{Invest in metal}
FLEET_TRADING_SPECIAL_OPT_C_1C,{Invest in fuel}
FLEET_TRADING_SPECIAL_OPT_D_1C,{Invest in batteries}
FLEET_TRADING_SPECIAL_OPT_E_1C,{Invest in technology}
FLEET_TRADING_SPECIAL_OPT_F_1C,{Invest in plants}
FLEET_TRADING_SPECIAL_OPT_G_1C,{Invest in luxury goods}
FLEET_TRADING_SPECIAL_OPT_J_1C,{Do not invest}
FLEET_TRADING_SPECIAL_RES_A_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the carbon market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_B_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the metals market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_C_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the fuel market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_D_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the battery market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_E_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the technology market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_F_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the plant market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_G_1C,{I translate the message for the fleet commander. The data clearly indicates an imminent surge in the luxury goods market. They should invest heavily now.}
FLEET_TRADING_SPECIAL_RES_J_1C,{I translate the message for the fleet commander. The data is not clear. It would be better not to invest at this time.}
FLEET_TRADING_SPECIAL_LOG_A_1,"{Acquired insider market data. Translated the message with the aid of the %CAP_RACE%. Invested heavily, and made a substantial profit.}"
FLEET_TRADING_SPECIAL_LOG_B_1,"{Acquired insider market data. Translated the message with the aid of the %CAP_RACE%. Invested heavily, but the information proved incorrect. Substantial losses incurred.}"
FLEET_TRADING_SPECIAL_LOG_C_1,"{Acquired insider market data. The data did not indicate any clear trends, and we prudently avoided investing.}"
FLEET_TRADING_SPECIAL_2,{%CAP_RACE%! We require urgent assistance! Our profitable trades have attracted the attention of pirates! Time is short - what should we do?}
FLEET_TRADING_SPECIAL_3,"{%CAP_RACE%! There is good news, and there is bad news. We have made spectacular profits. But as a consequence, we have been attacked by pirates. We have avoided heavy damage so far, but I fear our shields will not hold for much longer...}"
FLEET_TRADING_SPECIAL_4,"{%CAP_RACE%! Our trading activity has angered local merchants, and a bounty has been placed upon the fleet! It is only a matter of time before bounty hunters find the fleet. We are in need of immediate rescue!}"
FLEET_TRADING_SPECIAL_OPT_A_2,{Say you will help}
